id,city,population,area,district
552,Hostouň,1325,38,okres Domažlice
553,Habry,1317,27,okres Havlíčkův Brod
554,Železnice,1303,13,okres Jičín
555,Brandýs nad Orlicí,1303,4,okres Ústí nad Orlicí
556,Kasejovice,1292,34,okres Plzeň-jih
557,Vysoké nad Jizerou,1290,20,okres Semily
558,Vidnava,1282,4,okres Jeseník
559,Rovensko pod Troskami,1277,12,okres Semily
560,Pilníkov,1269,16,okres Trutnov
561,Sedlice,1252,30,okres Strakonice
562,Žulová,1247,14,okres Jeseník
563,Mirotice,1222,25,okres Písek
564,Úsov,1183,9,okres Šumperk
565,Potštát,1179,34,okres Přerov
566,Nalžovské Hory,1172,51,okres Klatovy
567,Jevišovice,1168,7,okres Znojmo
568,Verneřice,1158,31,okres Děčín
569,Černošín,1150,42,okres Tachov
570,Měčín,1145,38,okres Klatovy
571,Manětín,1142,84,okres Plzeň-sever
572,Špindlerův Mlýn,1119,76,okres Trutnov
573,Osečná,1116,28,okres Liberec
574,Krásná Hora nad Vltavou,1107,36,okres Příbram
575,Liběchov,1083,11,okres Mělník
576,Červená Řečice,1003,26,okres Pelhřimov
577,Blšany,999,36,okres Louny
578,Bělčice,981,34,okres Strakonice
579,Abertamy,975,8,okres Karlovy Vary
580,Hartmanice,974,62,okres Klatovy
581,Bezdružice,951,32,okres Tachov
582,Bečov nad Teplou,934,19,okres Karlovy Vary
583,Miletín,912,8,okres Jičín
584,Vysoké Veselí,865,9,okres Jičín
585,Stráž nad Nežárkou,862,36,okres Jindřichův Hradec
586,Deštná,749,12,okres Jindřichův Hradec
587,Krásno,709,25,okres Sokolov
588,Janské Lázně,699,13,okres Trutnov
589,Pec pod Sněžkou,657,52,okres Trutnov
590,Lipnice nad Sázavou,654,11,okres Havlíčkův Brod
591,Stárkov,644,16,okres Náchod
592,Chyše,579,28,okres Karlovy Vary
593,Mašťov,570,23,okres Chomutov
594,Ledvice,544,4,okres Teplice
595,Rabí,503,14,okres Klatovy
596,Úterý,470,25,okres Plzeň-sever
597,Hora Svaté Kateřiny,453,18,okres Most
598,Horní Blatná,412,5,okres Karlovy Vary
599,Krásné Údolí,400,9,okres Karlovy Vary
600,Výsluní,373,30,okres Chomutov
